StudentID,Name,AcademicInterest,ExtracurricularActivities,Skillset 1,Skillset 2,Skillset 3,Skillset 4,Skillset 5,Location,YearOfStudy,Major,GPA,Language Known 1,Language Known 2,Language Known 3,Language Known 4,Language Known 5,ResearchInterests,Attendance
248,Michele Bradley,Physics,Music Club,Data Analysis, Artistic, Leadership, Programming, Public Speaking,Los Angeles,Senior,History,2.21,German, English, Chinese, French,Null,Blockchain Technology,22.0
249,Laurie Oconnor,Computer Science,Volunteer Group,Public Speaking, Data Analysis, Programming, Leadership, Artistic,Houston,Junior,Mathematics,3.59,English, French,Null,Null,Null,Bioinformatics,70.0
250,David Garcia,Biology,Coding Club,Public Speaking, Problem Solving, Data Analysis, Artistic,Null,Houston,Freshman,Physics,2.58,German, Spanish,Null,Null,Null,Data Science,15.0
251,Rodney Gray,Psychology,Volunteer Group,Data Analysis, Leadership, Problem Solving, Programming,Null,Houston,Sophomore,History,3.24,Spanish,Null,Null,Null,Null,Quantum Computing,52.0
252,Dana Welch,Physics,Art Club,Artistic, Programming, Problem Solving, Public Speaking, Leadership,Boston,Graduate,Mathematics,2.11,Chinese, Japanese, German,Null,Null,Blockchain Technology,21.0
253,Chelsea Kennedy,Mathematics,Art Club,Artistic, Data Analysis, Programming, Leadership, Problem Solving,Boston,Senior,Computer Science,2.43,Chinese, French, German, Spanish, Japanese,Renewable Energy,23.0
254,Kaitlyn Reyes,Physics,Debate Club,Programming, Public Speaking, Artistic,Null,Null,San Francisco,Graduate,Mathematics,2.56,English, Japanese,Null,Null,Null,Machine Learning,23.0
255,Benjamin Andrews,Computer Science,Debate Club,Public Speaking,Null,Null,Null,Null,Houston,Freshman,Psychology,3.76,Japanese, French, Spanish, Chinese, English,Human-Computer Interaction,84.0
256,James Davis,History,Music Club,Artistic, Public Speaking, Leadership, Problem Solving, Programming,New York,Sophomore,Mathematics,3.8,German, Spanish, French, English,Null,Healthcare Management,85.0
257,Patrick Hines,Computer Science,Art Club,Leadership, Programming, Artistic, Public Speaking,Null,New York,Sophomore,History,2.32,Japanese, Spanish, German,Null,Null,Educational Technology,15.0
258,Glenda Buckley,Biology,Music Club,Leadership, Programming, Data Analysis,Null,Null,Boston,Junior,Biology,2.37,English, German, French, Chinese, Japanese,Space Exploration,19.0
259,Robert Carey,Psychology,Debate Club,Public Speaking, Problem Solving, Leadership, Artistic,Null,San Francisco,Senior,Biology,3.55,German,Null,Null,Null,Null,Quantum Computing,68.0
260,Richard Norman,Psychology,Volunteer Group,Programming, Data Analysis,Null,Null,Null,Los Angeles,Freshman,Psychology,3.76,Chinese, Japanese, German, Spanish,Null,Artificial Intelligence,71.0
261,Shannon Fisher,Psychology,Volunteer Group,Artistic, Public Speaking, Programming, Problem Solving, Leadership,Chicago,Senior,Biology,3.75,English, German, French, Chinese, Japanese,Urban Planning,85.0
262,Joan Harris,History,Coding Club,Problem Solving, Leadership, Public Speaking,Null,Null,San Francisco,Sophomore,Computer Science,2.98,French, Japanese, Chinese, Spanish,Null,Sustainable Agriculture,20.0
263,Ryan Pearson,Biology,Coding Club,Artistic, Leadership, Public Speaking,Null,Null,Boston,Senior,Physics,2.17,English, Japanese,Null,Null,Null,Educational Technology,21.0
264,Patricia James,Computer Science,Sports Team,Public Speaking, Artistic,Null,Null,Null,Los Angeles,Freshman,Biology,2.95,English, Japanese, Chinese, German, Spanish,Quantum Computing,17.0
265,Kenneth Jones,Computer Science,Music Club,Data Analysis, Problem Solving,Null,Null,Null,Boston,Graduate,Mathematics,2.21,Japanese, French, Chinese, German, Spanish,Machine Learning,0.0
266,Denise Osborne,History,Coding Club,Public Speaking, Problem Solving, Leadership,Null,Null,Houston,Senior,History,2.37,Japanese,Null,Null,Null,Null,Biomedical Engineering,14.0
267,Paula Rodgers,Psychology,Debate Club,Leadership, Programming, Problem Solving, Artistic, Public Speaking,San Francisco,Graduate,Computer Science,2.97,Spanish, German,Null,Null,Null,Cybersecurity,8.0
268,Jeremy Campbell,Psychology,Music Club,Public Speaking, Leadership, Problem Solving, Programming, Data Analysis,Chicago,Graduate,History,3.35,Spanish,Null,Null,Null,Null,Educational Technology,48.0
269,Julia Sloan,History,Debate Club,Data Analysis,Null,Null,Null,Null,New York,Freshman,Biology,3.23,English, German, Spanish,Null,Null,Artificial Intelligence,44.0
270,Brittany Butler,Psychology,Music Club,Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic,Houston,Junior,Mathematics,3.84,Chinese, German, French, English,Null,Sustainable Agriculture,94.0
271,Richard Lopez,History,Coding Club,Problem Solving, Artistic, Programming, Data Analysis,Null,Houston,Graduate,Mathematics,3.84,English, German, Spanish, Japanese,Null,Urban Planning,93.0
272,Joseph Rivas,History,Volunteer Group,Data Analysis,Null,Null,Null,Null,San Francisco,Sophomore,Psychology,3.8,French, English, German, Spanish, Japanese,Human-Computer Interaction,84.0
273,Sally Robertson,Computer Science,Art Club,Artistic,Null,Null,Null,Null,Boston,Senior,Physics,2.73,English, German,Null,Null,Null,Environmental Sustainability,3.0
274,Elizabeth Brooks,History,Art Club,Problem Solving,Null,Null,Null,Null,Boston,Senior,Mathematics,3.07,Chinese, German, French, Spanish, English,Healthcare Management,36.0
275,George Taylor,Computer Science,Art Club,Programming,Null,Null,Null,Null,San Francisco,Junior,Biology,3.85,Japanese, English, Chinese, French, Spanish,Climate Change,91.0
276,Pamela Villarreal,Physics,Volunteer Group,Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic,San Francisco,Graduate,Physics,2.85,French, English, Chinese, Japanese, German,Healthcare Management,21.0
277,Sara Wright,Physics,Music Club,Artistic, Data Analysis, Programming, Leadership,Null,Boston,Sophomore,Biology,3.1,Japanese, English, French, German, Spanish,Human-Computer Interaction,31.0
278,Ronald Johnson,Physics,Debate Club,Leadership,Null,Null,Null,Null,Chicago,Graduate,Computer Science,3.96,Spanish, Chinese,Null,Null,Null,Cybersecurity,94.0
279,Catherine Williams,Computer Science,Music Club,Data Analysis, Public Speaking, Leadership,Null,Null,San Francisco,Graduate,Mathematics,3.94,German, Chinese,Null,Null,Null,Biomedical Engineering,89.0
280,Jesse Anderson,Computer Science,Volunteer Group,Leadership,Null,Null,Null,Null,Boston,Graduate,Psychology,2.83,French, German, Japanese, English, Chinese,Quantum Computing,3.0
281,Kim Brandt,Physics,Volunteer Group,Public Speaking, Problem Solving, Artistic, Data Analysis, Programming,Houston,Freshman,History,3.73,German,Null,Null,Null,Null,Bioinformatics,84.0
282,Katherine Smith,Biology,Art Club,Leadership, Public Speaking,Null,Null,Null,New York,Graduate,Mathematics,3.19,Chinese, English, Spanish, Japanese, French,Environmental Sustainability,40.0
283,Alexa Decker,Physics,Volunteer Group,Public Speaking,Null,Null,Null,Null,Chicago,Graduate,Psychology,2.97,English, French,Null,Null,Null,Environmental Sustainability,24.0
284,Mark Weber,Psychology,Art Club,Data Analysis, Public Speaking, Leadership, Artistic, Problem Solving,San Francisco,Sophomore,History,2.08,Spanish, English, German,Null,Null,Artificial Intelligence,6.0
285,Eric Williams,History,Art Club,Programming,Null,Null,Null,Null,Chicago,Sophomore,Biology,3.28,German, Chinese,Null,Null,Null,Machine Learning,44.0
286,Tina Christian,History,Music Club,Problem Solving, Public Speaking, Data Analysis, Artistic, Programming,Los Angeles,Senior,Physics,3.3,Spanish, French, German,Null,Null,Healthcare Management,43.0
287,Nicholas Warren,Biology,Art Club,Problem Solving, Data Analysis, Public Speaking, Artistic,Null,Chicago,Graduate,Psychology,2.51,Spanish,Null,Null,Null,Null,Healthcare Management,0.0
288,Gene Smith,Mathematics,Music Club,Problem Solving, Public Speaking, Artistic,Null,Null,New York,Graduate,History,2.27,Japanese, German,Null,Null,Null,Quantum Computing,16.0
289,Timothy Johnson,Biology,Art Club,Artistic,Null,Null,Null,Null,San Francisco,Graduate,Computer Science,3.17,Chinese, Japanese,Null,Null,Null,Behavioral Economics,32.0
290,Henry Spence,Psychology,Volunteer Group,Problem Solving, Public Speaking, Programming, Data Analysis, Artistic,Houston,Junior,Physics,3.57,English, German, Japanese, French, Spanish,Bioinformatics,67.0
291,Ashley Stein,Physics,Debate Club,Leadership, Problem Solving, Data Analysis,Null,Null,Los Angeles,Sophomore,Physics,2.81,Spanish, German,Null,Null,Null,Astrophysics,7.0
292,Robert Curtis,Psychology,Music Club,Leadership, Public Speaking, Artistic, Problem Solving, Programming,Chicago,Senior,Psychology,3.06,German, Japanese, French, Spanish, Chinese,Machine Learning,29.0
293,Timothy Peterson,Biology,Volunteer Group,Data Analysis, Problem Solving,Null,Null,Null,Boston,Sophomore,History,3.48,Spanish, French, Chinese, English, Japanese,Blockchain Technology,56.0
294,Stacy Herman,Physics,Art Club,Problem Solving, Artistic, Public Speaking, Programming, Leadership,Boston,Sophomore,Mathematics,3.08,German, French, Chinese,Null,Null,Sustainable Agriculture,27.0
295,Adrian Robinson,Physics,Art Club,Programming, Artistic, Leadership, Data Analysis, Problem Solving,Houston,Junior,History,3.32,German, English, Spanish, French, Chinese,Cybersecurity,42.0
296,Michael Carter,Biology,Debate Club,Problem Solving, Programming,Null,Null,Null,San Francisco,Senior,Psychology,2.86,Chinese,Null,Null,Null,Null,Space Exploration,5.0
297,Erica Patton,Psychology,Debate Club,Data Analysis, Leadership,Null,Null,Null,Boston,Junior,Psychology,3.65,Chinese, German, Japanese,Null,Null,Space Exploration,80.0
298,Denise Freeman,Mathematics,Music Club,Problem Solving, Programming,Null,Null,Null,New York,Graduate,Computer Science,2.73,Spanish,Null,Null,Null,Null,Climate Change,12.0
299,Richard Williams,History,Art Club,Programming, Leadership,Null,Null,Null,Houston,Senior,History,2.14,English, Spanish,Null,Null,Null,Environmental Sustainability,15.0
300,Kurt Obrien,Psychology,Debate Club,Artistic, Problem Solving,Null,Null,Null,Houston,Senior,Biology,2.15,Japanese, German, English, French,Null,Renewable Energy,15.0
301,Scott Wilson,Mathematics,Music Club,Public Speaking, Leadership, Data Analysis, Problem Solving, Artistic,Houston,Senior,Computer Science,2.05,Spanish, Chinese, German,Null,Null,Sustainable Agriculture,22.0
302,Jeremy Lewis,Computer Science,Debate Club,Problem Solving, Public Speaking, Data Analysis, Artistic, Programming,New York,Graduate,Psychology,2.3,Chinese, German,Null,Null,Null,Cybersecurity,11.0
303,Jennifer Marsh,Computer Science,Music Club,Artistic, Data Analysis, Programming,Null,Null,Boston,Senior,Biology,3.86,Chinese, German, Spanish, Japanese, French,Bioinformatics,97.0
304,Rachel Shannon,Mathematics,Music Club,Artistic, Public Speaking,Null,Null,Null,Houston,Graduate,Physics,3.48,English, Spanish, French, Chinese,Null,Sustainable Agriculture,66.0
305,Erica Lewis,Computer Science,Art Club,Problem Solving, Public Speaking, Artistic, Leadership, Programming,Chicago,Graduate,Mathematics,3.45,English, Spanish,Null,Null,Null,Sustainable Agriculture,60.0
306,Brian Meyer,Physics,Music Club,Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic,Chicago,Junior,Mathematics,2.64,Chinese, German, Spanish,Null,Null,Blockchain Technology,9.0
307,Cameron Paul,Psychology,Coding Club,Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic,Boston,Graduate,Computer Science,2.49,Japanese, French, Spanish, German, Chinese,Political Science,22.0
308,Curtis Salas,Mathematics,Music Club,Leadership,Null,Null,Null,Null,New York,Freshman,Physics,2.1,French, English, Japanese, Chinese, German,Machine Learning,20.0
309,Penny Paul,Computer Science,Volunteer Group,Artistic, Data Analysis, Leadership, Public Speaking, Problem Solving,San Francisco,Freshman,Mathematics,3.99,German, Spanish, Japanese, French,Null,Human-Computer Interaction,91.0
310,Luis Greene,History,Sports Team,Leadership, Problem Solving,Null,Null,Null,Boston,Junior,Mathematics,3.89,English, French, Chinese, Spanish, German,Space Exploration,97.0
311,Anna Clay,Physics,Sports Team,Data Analysis, Programming, Problem Solving, Public Speaking, Artistic,Chicago,Junior,Physics,3.79,German, English, Spanish, Japanese, French,Educational Technology,72.0
312,Hunter Walker,Biology,Volunteer Group,Leadership, Problem Solving, Public Speaking, Programming, Artistic,Houston,Graduate,Mathematics,2.4,Spanish, English,Null,Null,Null,Climate Change,10.0
313,Marc Mccoy,History,Music Club,Data Analysis, Problem Solving, Public Speaking, Programming, Leadership,Boston,Sophomore,Biology,3.7,Chinese,Null,Null,Null,Null,Behavioral Economics,71.0
314,Melinda Rivera,Mathematics,Art Club,Programming,Null,Null,Null,Null,Boston,Freshman,Psychology,2.15,English, German, Japanese, Chinese,Null,Sustainable Agriculture,6.0
315,Amy Carlson,Psychology,Art Club,Artistic, Public Speaking, Leadership, Data Analysis,Null,San Francisco,Graduate,Mathematics,2.59,Japanese, Chinese, Spanish, English, French,Data Science,12.0
316,Ashley Wilson,Psychology,Music Club,Artistic, Public Speaking, Leadership, Programming, Problem Solving,Los Angeles,Junior,History,2.97,Chinese,Null,Null,Null,Null,Educational Technology,22.0
317,Erik Bailey,Mathematics,Sports Team,Artistic, Programming, Public Speaking, Data Analysis, Problem Solving,New York,Sophomore,Psychology,2.23,French, German, Chinese,Null,Null,Nanotechnology,11.0
318,Christopher Gonzalez,History,Debate Club,Artistic, Leadership,Null,Null,Null,San Francisco,Graduate,Psychology,2.02,Spanish, Chinese, German,Null,Null,Cognitive Psychology,20.0
319,Frank Kemp,Computer Science,Music Club,Public Speaking,Null,Null,Null,Null,Boston,Graduate,History,3.44,English, Chinese, Japanese, Spanish,Null,Healthcare Management,65.0
320,Teresa Black,Psychology,Music Club,Artistic, Programming, Problem Solving, Leadership, Public Speaking,Houston,Junior,Biology,2.75,Chinese, German, Spanish, Japanese, English,Blockchain Technology,20.0
321,Jeremy Reynolds,Physics,Sports Team,Artistic,Null,Null,Null,Null,San Francisco,Sophomore,Physics,2.67,German,Null,Null,Null,Null,Artificial Intelligence,9.0
322,Nathaniel Rivas,Mathematics,Debate Club,Data Analysis, Artistic, Problem Solving, Leadership, Programming,San Francisco,Graduate,Biology,2.37,Japanese,Null,Null,Null,Null,Robotics,2.0
323,Stacy Gutierrez,Physics,Coding Club,Data Analysis, Problem Solving, Programming,Null,Null,San Francisco,Junior,History,2.46,Chinese, Japanese, English, Spanish,Null,Nanotechnology,22.0
324,Christine Welch,Mathematics,Coding Club,Data Analysis, Artistic, Public Speaking, Programming,Null,Boston,Graduate,Biology,2.39,German, Japanese, French, English, Spanish,Astrophysics,11.0
325,Jeremy Powers,Computer Science,Debate Club,Artistic, Programming,Null,Null,Null,New York,Sophomore,History,3.81,German, English, Chinese, Spanish, French,Climate Change,100.0
326,Sharon Sweeney,History,Music Club,Leadership, Data Analysis, Public Speaking,Null,Null,New York,Junior,Biology,2.72,English, Chinese,Null,Null,Null,Environmental Sustainability,13.0
327,Kelsey Fernandez,Psychology,Debate Club,Leadership, Data Analysis, Problem Solving,Null,Null,Los Angeles,Senior,History,3.65,English, Spanish, Japanese, Chinese,Null,Human-Computer Interaction,80.0
328,Jennifer Perry,Computer Science,Volunteer Group,Public Speaking, Programming, Artistic, Leadership,Null,Chicago,Junior,Psychology,2.74,French, German, Chinese, Spanish,Null,Healthcare Management,3.0
329,James Baker,Physics,Coding Club,Leadership, Public Speaking,Null,Null,Null,New York,Senior,Computer Science,3.62,French, Japanese, Spanish,Null,Null,Artificial Intelligence,74.0
330,Michelle Martin,Psychology,Art Club,Artistic, Leadership,Null,Null,Null,New York,Junior,Psychology,3.97,Chinese, French, Spanish, German, Japanese,Artificial Intelligence,88.0
331,Larry Sullivan,History,Music Club,Data Analysis, Programming, Public Speaking, Leadership, Artistic,New York,Freshman,Mathematics,2.96,Spanish, English, French, Japanese, Chinese,Quantum Computing,24.0
332,Angela Phillips,Physics,Music Club,Problem Solving,Null,Null,Null,Null,Los Angeles,Freshman,Computer Science,2.22,German, English, Japanese, French, Chinese,Urban Planning,3.0
333,Samantha Odom,Physics,Art Club,Programming, Data Analysis, Artistic, Problem Solving, Public Speaking,Boston,Sophomore,Psychology,3.4,Spanish, English, French, Chinese, Japanese,Artificial Intelligence,52.0
334,John Flores,Mathematics,Sports Team,Leadership, Problem Solving, Public Speaking, Programming,Null,Houston,Freshman,Mathematics,3.15,English, German,Null,Null,Null,Behavioral Economics,27.0
335,Diana Johnston,Psychology,Coding Club,Leadership, Artistic, Problem Solving, Data Analysis, Public Speaking,Los Angeles,Freshman,History,2.18,English, Spanish, German, Chinese, Japanese,Renewable Energy,24.0
336,Kimberly Wall,Mathematics,Volunteer Group,Leadership, Artistic, Programming,Null,Null,Houston,Freshman,History,3.83,Spanish, Japanese, English, French,Null,Renewable Energy,98.0
337,Caroline Riley,History,Music Club,Public Speaking, Data Analysis, Problem Solving, Leadership, Programming,Chicago,Sophomore,Biology,2.52,French, German, English, Spanish,Null,Climate Change,22.0
338,Charles Wilcox,Computer Science,Debate Club,Leadership, Problem Solving, Programming,Null,Null,Los Angeles,Graduate,History,3.37,English, Japanese, French, Chinese, German,Environmental Sustainability,47.0
339,Douglas Rocha,Mathematics,Music Club,Problem Solving, Artistic,Null,Null,Null,Chicago,Senior,History,2.26,Japanese, German,Null,Null,Null,Cybersecurity,20.0
340,Colleen Grimes,Biology,Coding Club,Artistic, Leadership,Null,Null,Null,Boston,Graduate,Biology,3.41,English, Japanese, Spanish, Chinese,Null,Educational Technology,65.0
341,Erik Barnes,Psychology,Music Club,Problem Solving, Public Speaking, Programming, Artistic,Null,San Francisco,Sophomore,History,2.91,English, French, Spanish, Japanese, Chinese,Quantum Computing,14.0
342,Brian Long,History,Art Club,Public Speaking, Problem Solving, Programming, Leadership,Null,Boston,Graduate,Mathematics,2.94,French, Japanese, Chinese,Null,Null,Blockchain Technology,15.0
343,Katherine Powers,Biology,Coding Club,Data Analysis, Artistic, Public Speaking, Leadership,Null,Chicago,Graduate,Physics,2.1,German, Japanese,Null,Null,Null,Cognitive Psychology,24.0
344,Hailey Hernandez,Physics,Sports Team,Leadership,Null,Null,Null,Null,San Francisco,Junior,Computer Science,2.63,English, Japanese, German,Null,Null,Social Sciences,6.0
345,John Beck,Biology,Music Club,Problem Solving, Public Speaking, Programming, Artistic, Leadership,New York,Junior,History,3.57,Japanese,Null,Null,Null,Null,Behavioral Economics,69.0
346,Leon Goodwin,Mathematics,Coding Club,Leadership, Programming, Problem Solving, Artistic, Data Analysis,San Francisco,Sophomore,Mathematics,3.77,Japanese, French, English, German, Spanish,Human-Computer Interaction,74.0
347,Joseph Thomas,Computer Science,Sports Team,Public Speaking, Data Analysis, Leadership, Programming,Null,San Francisco,Sophomore,Physics,2.62,Chinese, German, English,Null,Null,Urban Planning,1.0
348,Kelly Vasquez,Physics,Debate Club,Problem Solving, Public Speaking, Artistic, Leadership, Data Analysis,San Francisco,Graduate,Psychology,3.77,French, Spanish, Chinese, German, Japanese,Climate Change,74.0
349,William Martinez,Psychology,Art Club,Artistic, Data Analysis, Programming, Problem Solving, Leadership,New York,Senior,Psychology,3.89,English, Japanese, Spanish, German, French,Climate Change,95.0
350,Ronald Middleton,Computer Science,Art Club,Artistic,Null,Null,Null,Null,Boston,Junior,Computer Science,3.68,English, Chinese, German, Spanish,Null,Environmental Sustainability,71.0
351,Gary Clayton,Psychology,Debate Club,Artistic, Problem Solving,Null,Null,Null,Chicago,Senior,Psychology,3.31,Japanese,Null,Null,Null,Null,Blockchain Technology,43.0
352,Melissa Stein,Mathematics,Volunteer Group,Programming,Null,Null,Null,Null,New York,Graduate,Computer Science,3.94,French, German, English, Chinese, Japanese,Bioinformatics,96.0
353,James Crane,Computer Science,Sports Team,Public Speaking, Artistic, Leadership, Problem Solving, Programming,Houston,Sophomore,History,2.73,Japanese, French, English, Spanish,Null,Social Sciences,4.0
354,Kevin Matthews,History,Art Club,Leadership, Programming, Public Speaking,Null,Null,Houston,Freshman,History,2.34,French, Spanish, English, Chinese, Japanese,Renewable Energy,16.0
355,Tina Johnson,Biology,Coding Club,Programming, Artistic,Null,Null,Null,San Francisco,Graduate,Psychology,2.05,Spanish, English, French, Japanese, German,Environmental Sustainability,21.0
356,Brittany Johnson,Physics,Music Club,Artistic, Public Speaking,Null,Null,Null,New York,Freshman,Mathematics,3.19,English, Japanese, Spanish, German, Chinese,Biomedical Engineering,33.0
357,Colleen Vincent,Mathematics,Coding Club,Problem Solving, Data Analysis,Null,Null,Null,Chicago,Sophomore,Computer Science,3.34,German, Spanish, French, Chinese, Japanese,Climate Change,55.0
358,Carl Patterson,Physics,Coding Club,Programming,Null,Null,Null,Null,New York,Graduate,Physics,3.76,French, Spanish, Chinese, German,Null,Data Science,80.0
359,Jessica Wu,Biology,Sports Team,Programming,Null,Null,Null,Null,Houston,Sophomore,Computer Science,2.54,English, Japanese, Chinese,Null,Null,Space Exploration,20.0
360,Angela Hicks,Computer Science,Coding Club,Artistic, Public Speaking, Leadership, Programming, Data Analysis,Los Angeles,Sophomore,Psychology,2.98,Japanese, Spanish,Null,Null,Null,Behavioral Economics,7.0
361,Christine Smith,History,Music Club,Problem Solving, Data Analysis, Programming, Leadership,Null,New York,Sophomore,Mathematics,2.71,Japanese, French, English, Chinese, Spanish,Data Science,5.0
362,Angela Collins,Physics,Coding Club,Leadership, Public Speaking, Problem Solving, Programming, Artistic,San Francisco,Junior,Computer Science,2.76,Japanese, Spanish,Null,Null,Null,Environmental Sustainability,23.0
363,Scott Daugherty,Psychology,Volunteer Group,Artistic, Problem Solving, Leadership, Public Speaking,Null,San Francisco,Senior,Physics,2.17,French, Chinese, Japanese, English, German,Cybersecurity,11.0
364,Angela Parker,Physics,Debate Club,Artistic, Programming, Data Analysis, Leadership,Null,San Francisco,Graduate,Psychology,2.43,English, Japanese,Null,Null,Null,Healthcare Management,13.0
365,Mary Edwards,Physics,Volunteer Group,Public Speaking, Programming, Artistic, Problem Solving, Data Analysis,Los Angeles,Graduate,History,3.68,Chinese, English, German, Spanish,Null,Educational Technology,74.0
366,Christopher Fisher,Mathematics,Music Club,Problem Solving, Programming, Leadership,Null,Null,Houston,Junior,Computer Science,2.98,Japanese, German, English, French,Null,Behavioral Economics,7.0
367,Mary Cooper,Psychology,Volunteer Group,Data Analysis, Programming,Null,Null,Null,Chicago,Freshman,History,3.11,German,Null,Null,Null,Null,Data Science,26.0
368,Michael Young,Computer Science,Music Club,Artistic, Leadership, Data Analysis, Programming,Null,Los Angeles,Sophomore,Biology,3.56,Japanese, Chinese,Null,Null,Null,Human-Computer Interaction,65.0
369,Glenn Rice,Psychology,Art Club,Data Analysis, Public Speaking, Artistic,Null,Null,Houston,Junior,History,2.64,Japanese, French, German, Chinese, English,Natural Language Processing,8.0
370,Jeffrey Briggs,Mathematics,Volunteer Group,Problem Solving, Public Speaking, Leadership,Null,Null,New York,Graduate,Psychology,2.5,French, English, Spanish, German, Chinese,Natural Language Processing,6.0
371,Cynthia Taylor,Mathematics,Coding Club,Problem Solving, Public Speaking, Leadership, Programming, Data Analysis,Boston,Junior,Physics,2.19,German, English,Null,Null,Null,Educational Technology,21.0
372,Priscilla Howe,Physics,Debate Club,Artistic, Leadership,Null,Null,Null,Los Angeles,Freshman,Physics,3.86,Spanish, German, Japanese,Null,Null,Renewable Energy,95.0
373,Wanda Bryan,Mathematics,Sports Team,Data Analysis, Problem Solving,Null,Null,Null,San Francisco,Freshman,Physics,2.43,German, Chinese, Spanish, Japanese, English,Biomedical Engineering,1.0
374,Ann Floyd,Mathematics,Music Club,Programming, Leadership, Data Analysis, Artistic,Null,Los Angeles,Junior,Computer Science,2.86,Spanish, French, German, Chinese, English,Renewable Energy,10.0
375,Ronnie White,Physics,Sports Team,Data Analysis, Artistic, Public Speaking, Programming, Leadership,Los Angeles,Graduate,Physics,3.49,Spanish, English,Null,Null,Null,Sustainable Agriculture,67.0
376,Mark Walsh,Mathematics,Music Club,Public Speaking, Artistic, Data Analysis, Leadership, Programming,San Francisco,Freshman,Psychology,2.21,Chinese, English,Null,Null,Null,Nanotechnology,15.0
377,Brianna Burgess,Psychology,Coding Club,Data Analysis, Leadership, Artistic,Null,Null,Los Angeles,Senior,History,2.13,French, Japanese, English, German,Null,Healthcare Management,7.0
378,Kayla Hill,History,Coding Club,Problem Solving, Public Speaking, Artistic, Leadership, Programming,Houston,Sophomore,Physics,2.34,French,Null,Null,Null,Null,Sustainable Agriculture,4.0
379,Bill Watson,Psychology,Volunteer Group,Data Analysis, Problem Solving, Artistic,Null,Null,Houston,Senior,Psychology,3.42,French, English, Chinese,Null,Null,Renewable Energy,64.0
380,Vanessa Miller,Mathematics,Coding Club,Problem Solving, Artistic, Public Speaking, Programming, Data Analysis,San Francisco,Freshman,Biology,2.43,Spanish, Chinese, French, Japanese, German,Educational Technology,3.0
381,Lisa Fields,Biology,Sports Team,Programming,Null,Null,Null,Null,New York,Graduate,Computer Science,3.96,Spanish, English,Null,Null,Null,Behavioral Economics,95.0
382,Carrie Barber,Computer Science,Music Club,Public Speaking, Artistic, Problem Solving, Leadership, Data Analysis,Houston,Sophomore,Computer Science,2.92,English, German,Null,Null,Null,Renewable Energy,3.0
383,Paul Aguilar,Biology,Debate Club,Problem Solving, Data Analysis,Null,Null,Null,Houston,Graduate,Computer Science,2.93,Chinese, French, Japanese, German, English,Biomedical Engineering,1.0
384,Charles Rose,History,Debate Club,Programming,Null,Null,Null,Null,New York,Junior,Computer Science,2.32,German, Chinese, Spanish, English, French,Cybersecurity,7.0
385,Bonnie James,Psychology,Volunteer Group,Problem Solving, Data Analysis, Leadership, Programming,Null,San Francisco,Sophomore,Physics,2.28,German, Spanish, Japanese, French, Chinese,Climate Change,8.0
386,Charles Quinn,Mathematics,Music Club,Programming, Data Analysis, Public Speaking,Null,Null,Houston,Junior,Mathematics,3.3,Chinese, German, Spanish, Japanese, French,Urban Planning,44.0
387,Kathryn Cain,Physics,Sports Team,Data Analysis, Public Speaking, Programming,Null,Null,San Francisco,Sophomore,Computer Science,3.84,Japanese,Null,Null,Null,Null,Political Science,94.0
388,Craig Hancock,Computer Science,Sports Team,Artistic,Null,Null,Null,Null,Houston,Senior,Biology,3.69,Chinese, German, Spanish, Japanese,Null,Educational Technology,76.0
389,Emily Dean,Physics,Art Club,Leadership, Programming,Null,Null,Null,Houston,Senior,Biology,3.21,Japanese, Chinese, English, Spanish, French,Social Sciences,54.0
390,Bryan Joseph,History,Debate Club,Data Analysis, Public Speaking, Artistic, Leadership, Problem Solving,New York,Graduate,Physics,3.31,Japanese, German, French,Null,Null,Quantum Computing,45.0
391,Tasha Reynolds,Psychology,Music Club,Leadership,Null,Null,Null,Null,Boston,Graduate,Mathematics,3.26,French,Null,Null,Null,Null,Astrophysics,49.0
392,Justin Burke,Computer Science,Debate Club,Programming, Data Analysis, Leadership, Artistic, Problem Solving,Los Angeles,Junior,History,2.75,German,Null,Null,Null,Null,Space Exploration,4.0
393,Heather Skinner,Biology,Music Club,Leadership, Public Speaking, Problem Solving, Artistic, Programming,New York,Graduate,Physics,3.89,Japanese, French, Spanish,Null,Null,Climate Change,96.0
394,April Adams,Biology,Art Club,Data Analysis, Problem Solving, Artistic, Public Speaking, Programming,Chicago,Graduate,History,2.72,French, Chinese, German, English,Null,Machine Learning,16.0
395,Jacob Stevens,Psychology,Music Club,Leadership, Artistic, Data Analysis, Programming, Problem Solving,Chicago,Senior,History,2.53,Chinese, English, French, German,Null,Urban Planning,19.0
396,Ryan Reed,Psychology,Art Club,Programming, Leadership, Artistic, Public Speaking, Data Analysis,Los Angeles,Freshman,Mathematics,3.81,Spanish,Null,Null,Null,Null,Quantum Computing,91.0
397,Deborah Valencia,Psychology,Sports Team,Problem Solving, Artistic, Data Analysis, Public Speaking, Leadership,San Francisco,Graduate,History,2.74,English,Null,Null,Null,Null,Biomedical Engineering,21.0
